20000226,11225,CHTA1,USC00011225,CAHABA PUMP HOUSE,UNITED,STATES,AL,JEFFERSON,2,APPALACHIAN MOUNTAINS,33.4517,-86.7158,DDdddd,461,FEET,-6,SOUTHERN,BMX,Y,
20000197,11288,CLRA1,USC00011288,CALERA,UNITED,STATES,AL,SHELBY,4,EASTERN VALLEY,33.0944,-86.7455,DDdddd,530,FEET,-6,SOUTHERN,BMX,Y,
30001259,11490,CTRA1,USC00011490,CENTRE,UNITED,STATES,AL,CHEROKEE,4,EASTERN VALLEY,34.15,-85.6846,DDddddd,600,FEET,-6,SOUTHERN,BMX,Y,
30000043,11525,CENA1,USW00003881,CENTREVILLE 2.9 SW,UNITED,STATES,AL,BIBB,3,UPPER PLAINS,32.929,-87.1898,DDddddd,330,FEET,-6,SOUTHERN,BMX,Y,
20000069,11566,CHAA1,USC00011566,CHATOM,UNITED,STATES,AL,WASHINGTON,7,COASTAL PLAIN,31.4715,-88.2504,DDddddd,285,FEET,-6,SOUTHERN,MOB,Y,
20000212,11620,CHLA1,USC00011620,CHILDERSBURG WTP,UNITED,STATES,AL,TALLADEGA,4,EASTERN VALLEY,33.285,-86.3431,DDddddd,418,FEET,-6,SOUTHERN,BMX,Y,
20000361,11690,CLBA1,USC00011690,CLAIBORNE L&D,UNITED,STATES,AL,MONROE,7,COASTAL PLAIN,31.61469,-87.5003,DDddddd,50,FEET,-6,SOUTHERN,MOB,Y,
10100023,11694,CLNA1,USC00011694,CLANTON,UNITED,STATES,AL,CHILTON,3,UPPER PLAINS,32.816,-86.60417,DDddddd,590,FEET,-6,SOUTHERN,BMX,Y,
20000092,11725,CLYA1,USC00011725,CLAYTON,UNITED,STATES,AL,BARBOUR,7,COASTAL PLAIN,31.8709,-85.4501,DDddddd,569,FEET,-6,SOUTHERN,BMX,Y,
20000367,11810,CLDA1,USC00011810,COFFEEVILLE L&D,UNITED,STATES,AL,CHOCTAW,7,COASTAL PLAIN,31.75615,-88.12876,DDddddd,46,FEET,-6,SOUTHERN,MOB,Y,
20000176,12124,DADA1,USC00012124,DADEVILLE 2,UNITED,STATES,AL,TALLAPOOSA,5,PIEDMONT PLATEAU,32.8622,-85.7358,DDdddd,733,FEET,-6,SOUTHERN,BMX,Y,Y
20000006,12172,DAUA1,USC00012172,DAUPHIN IS #2,UNITED,STATES,AL,MOBILE,8,GULF,30.2505,-88.0775,DDdddd,8,FEET,-6,SOUTHERN,MOB,Y,Y
30000608,12209,DCTA1,USC00012209,DECATUR 4SE,UNITED,STATES,AL,MORGAN,1,NORTHERN VALLEY,34.57556,-86.93389,DDddddd,550,FEET,-6,SOUTHERN,HUN,Y,
20000156,12245,DLDA1,USC00012245,DEMOPOLIS L&D,UNITED,STATES,AL,MARENGO,6,PRAIRIE,32.5193,-87.88,DDddddd,100,FEET,-6,SOUTHERN,BMX,Y,
30002412,12350,DORA1,USC00012350,DORA,UNITED,STATES,AL,WALKER,3,UPPER PLAINS,33.74778,-87.05861,DDddddd,470,FEET,-6,SOUTHERN,BMX,Y,
20000051,12372,DHN,USW00013839,DOTHAN FAA AIRPORT,UNITED,STATES,AL,DALE,7,COASTAL PLAIN,31.3167,-85.45,DDMMSS,374,FEET,-6,SOUTHERN,TAE,Y,Y
20000044,12377,DOTA1,USC00012377,DOTHAN,UNITED,STATES,AL,HOUSTON,7,COASTAL PLAIN,31.1941,-85.3708,DDMMSS,275,FEET,-6,SOUTHERN,TAE,Y,Y
20000058,12675,ENTA1,USC00012675,ENTERPRISE 4 W,UNITED,STATES,AL,COFFEE,7,COASTAL PLAIN,31.2975,-85.8996,DDMMSS,337,FEET,-6,SOUTHERN,TAE,Y,Y
20000101,12730,EWRA1,USC00012730,EUFAULA WILDLIFE REF,UNITED,STATES,AL,BARBOUR,7,COASTAL PLAIN,32.0112,-85.0901,DDddddd,300,FEET,-6,SOUTHERN,BMX,Y,
10100025,12813,FHPA1,USC00012813,FAIRHOPE 2 NE,UNITED,STATES,AL,BALDWIN,8,GULF,30.5468,-87.8807,DDMMSS,23,FEET,-6,SOUTHERN,MOB,Y,
20000245,12883,FYTA1,USC00012883,FAYETTE,UNITED,STATES,AL,FAYETTE,3,UPPER PLAINS,33.7091,-87.8152,DDddddd,357,FEET,-6,SOUTHERN,BMX,Y,
20000299,13043,FOPA1,USC00013043,FT PAYNE,UNITED,STATES,AL,DEKALB,2,APPALACHIAN MOUNTAINS,34.4406,-85.7236,DDddddd,917,FEET,-6,SOUTHERN,HUN,Y,Y
20000377,13153,GAPA1,,GADSDEN #2,UNITED,STATES,AL,ETOWAH,4,EASTERN VALLEY,34.0141,-85.9715,DDdddd,565,FEET,-6,SOUTHERN,BMX,Y,
20000264,13154,GADA1,USC00013154,GADSDEN,UNITED,STATES,AL,ETOWAH,4,EASTERN VALLEY,34.0219,-85.9878,DDddddd,565,FEET,-6,SOUTHERN,BMX,Y,
10100024,13160,GNSA1,USC00013160,GAINESVILLE LOCK,UNITED,STATES,AL,GREENE,6,PRAIRIE,32.8347,-88.1341,DDdddd,125,FEET,-6,SOUTHERN,BMX,Y,
20000031,13251,GVAA1,USC00013251,GENEVA #2,UNITED,STATES,AL,GENEVA,7,COASTAL PLAIN,31.03833,-85.87083,DDMMSS,145,FEET,-6,SOUTHERN,TAE,Y,
10100026,13511,GREA1,USC00013511,GREENSBORO,UNITED,STATES,AL,HALE,6,PRAIRIE,32.69212,-87.57603,DDddddd,249,FEET,-6,SOUTHERN,BMX,Y,
